phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T1_pre,5,pooled,hdbscan,-1,60,29,0.48333333333333334,0.5797630199919535,11.849999999999994,False,6;39;61;69;76;90;91;93;96;103;150;158;166;176;183;206;210;214;221;227;229;230;232;235;240;248;250;251;256;273;275;278;307;308;309;310;313;320;322;340;343;350;361;373;388;391;396;401;402;403;405;413;415;416;427;432;442;463;471;14
T1_pre,5,pooled,hdbscan,0,12,7,0.5833333333333334,0.7620573516017893,13.334000000000003,False,112;190;198;237;265;362;370;377;378;384;431;440
T1_pre,5,pooled,hdbscan,1,11,7,0.6363636363636364,0.5285161580389132,10.349999999999994,False,8;223;234;284;288;321;328;334;355;408;468
T1_pre,5,pooled,hdbscan,2,31,15,0.4838709677419355,0.834232841072154,12.207999999999998,False,4;30;40;73;110;160;165;189;212;215;224;253;259;286;323;325;329;348;354;371;375;380;381;393;398;411;421;445;464;469;86
T1_pre,5,pooled,kmeans_k3,0,33,17,0.5151515151515151,1.0,9.825000000000003,False,4;8;39;40;61;76;91;150;158;166;210;223;234;240;248;284;288;320;321;328;334;355;361;380;381;388;391;401;402;408;442;463;468
T1_pre,5,pooled,kmeans_k3,1,34,19,0.5588235294117647,0.5424611174890377,11.849999999999994,False,69;90;96;112;190;198;221;227;229;230;232;235;237;251;256;265;273;278;322;343;354;362;370;377;378;384;396;403;413;415;416;427;431;440
T1_pre,5,pooled,kmeans_k3,2,47,22,0.46808510638297873,0.5685164781095324,14.783500000000004,False,6;30;73;93;103;110;160;165;176;183;189;206;212;214;215;224;250;253;259;275;286;307;308;309;310;313;323;325;329;340;348;350;371;373;375;393;398;405;411;421;432;445;464;469;471;14;86
T1_pre,10,pooled,hdbscan,-1,25,14,0.56,0.8151895828117901,9.858499999999992,False,30;40;61;90;103;160;206;259;273;275;310;323;325;328;340;343;355;370;381;393;411;415;432;445;463
T1_pre,10,pooled,hdbscan,0,11,6,0.5454545454545454,1.0,21.033999999999992,False,76;176;189;212;237;278;334;354;373;421;431
T1_pre,10,pooled,hdbscan,1,48,23,0.4791666666666667,0.4018004044504762,12.844499999999996,False,8;39;69;73;93;158;166;190;198;214;221;223;224;227;229;234;240;248;250;251;253;256;265;284;286;288;307;320;321;322;361;375;378;380;384;388;391;403;408;416;427;440;442;464;469;471;14;86
T1_pre,10,pooled,hdbscan,2,7,5,0.7142857142857143,0.43960753181985246,11.550000000000011,False,110;112;230;313;329;362;468
T1_pre,10,pooled,kmeans_k4,0,26,15,0.5769230769230769,0.6443799548045052,12.700000000000003,False,30;69;103;166;214;224;234;240;250;251;253;256;273;321;322;323;380;393;411;440;442;445;464;469;14;86
T1_pre,10,pooled,kmeans_k4,1,23,14,0.6086956521739131,0.4701966096042516,10.950000000000003,False,8;93;110;112;158;160;198;230;310;313;320;325;329;340;343;361;362;381;384;415;463;468;471
T1_pre,10,pooled,kmeans_k4,2,25,11,0.44,0.3518801341663471,11.299999999999985,False,39;61;73;190;221;223;227;229;248;259;265;284;286;288;307;328;355;375;378;388;391;403;408;416;427
T1_pre,10,pooled,kmeans_k4,3,17,8,0.47058823529411764,0.7883608683445622,15.667000000000002,False,40;76;90;176;189;206;212;237;275;278;334;354;370;373;421;431;432
T2_post,2,pooled,hdbscan,-1,25,13,0.52,1.0,9.049999999999985,False,6;30;40;73;76;103;150;183;189;190;223;248;278;321;329;343;354;357;371;402;416;427;442;463;471
